TradeYear,Y,Size,Tenure,Distance,RoomNumber,Youseki,Reform
2019,19.162618088681743,100,5,4,2,400,0
2019,18.51599092375669,60,11,3,1,500,0
2019,18.82614585206053,75,14,4,2,400,0
2019,18.683045008419857,65,5,4,2,400,0
2024,18.683045008419857,70,20,5,2,800,0
2019,16.64872390202049,20,16,3,1,600,0
2019,18.683045008419857,80,15,2,3,800,0
2019,17.182806387950748,20,15,4,1,500,0
2019,18.159315979817958,60,9,6,2,500,0
2024,17.399029496420383,30,19,2,1,600,0
2024,17.312018119430753,20,10,6,1,600,0
2024,17.312018119430753,30,10,6,1,600,0
2024,16.860032995687696,20,24,3,1,600,0
2019,16.860032995687696,20,19,3,1,600,0
2019,17.37085861945369,30,14,2,1,600,0
2024,16.99356438831222,20,19,2,1,600,0
2024,19.450300161133523,105,47,3,2,500,1
2019,18.51599092375669,105,42,3,3,500,0
2024,19.06253463012476,70,16,2,2,500,1
2019,16.38045991542581,15,41,3,1,500,0
2019,16.64872390202049,15,41,3,1,500,0
2024,17.312018119430753,20,23,4,1,500,0
2019,16.213405830762646,15,47,2,1,500,0
2019,16.90655301132259,30,47,2,2,500,0
2019,17.72753356339242,55,49,1,1,600,0
2019,17.72753356339242,55,49,1,1,600,0
2019,13.815510557964274,15,47,2,1,500,0
2019,16.38045991542581,15,47,2,1,500,0
2019,16.523560759066484,15,47,2,1,500,1
2024,17.98989782785991,40,41,2,2,600,1
2024,16.90655301132259,20,20,3,1,500,0
2024,18.064005800013632,50,11,3,2,500,0
2024,17.822843743196746,45,17,2,1,500,0
2024,16.99356438831222,20,23,3,1,500,0
2019,16.951004773893423,20,14,5,1,600,0
2019,16.951004773893423,25,17,6,1,600,0
2019,16.951004773893423,20,17,6,1,600,1
2019,16.90655301132259,20,18,3,1,500,0
2019,17.686711568872166,50,13,6,2,600,0
2019,16.99356438831222,20,14,6,1,600,0
2024,17.073607095985757,20,19,4,1,700,0
2024,17.111347423968603,20,20,4,1,500,0
2024,18.197537192638155,55,12,3,2,600,0
2024,17.216707939626428,40,43,4,1,700,0
2024,17.111347423968603,20,20,4,1,500,0
2019,16.860032995687696,20,14,4,1,600,0
