TradeYear,Y,Size,Tenure,Distance,RoomNumber,Youseki,Reform
2019,16.454567887579532,20,41,7,1,700,0
2019,16.454567887579532,20,41,7,1,700,0
2019,17.111347423968603,25,17,2,1,600,0
2019,17.958645284355807,55,2,7,2,300,0
2019,17.111347423968603,20,15,4,1,700,0
2019,17.4264284706085,30,14,4,1,700,0
2019,17.034386382832476,20,8,1,1,600,0
2019,17.50439001207821,45,15,3,2,300,0
2019,17.034386382832476,20,17,2,1,600,0
2019,18.369387449564815,70,2,7,3,300,0
2024,16.860032995687696,15,23,8,1,600,0
2024,16.759949537130716,15,23,8,1,600,0
2024,16.300417207752275,15,40,6,1,800,0
2024,17.7073308560749,30,20,6,1,600,1
2024,16.951004773893423,15,23,8,1,600,0
2019,16.64872390202049,15,17,7,1,600,0
2024,17.073607095985757,20,16,6,1,300,1
2024,17.111347423968603,20,16,6,1,300,0
2019,17.399029496420383,40,21,7,1,300,0
2019,17.576710673657836,40,21,7,1,300,1
2024,18.078190435005588,55,30,11,3,500,1
2024,16.951004773893423,20,22,13,1,500,0
2024,17.72753356339242,55,30,11,2,500,0
2019,17.47907220409392,55,25,11,3,500,0
2019,16.99356438831222,25,15,14,1,500,1
2019,17.7073308560749,50,19,12,2,500,1
2024,18.172219384653864,60,23,4,2,500,0
2019,16.588099280204055,15,19,8,1,500,0
2019,17.073607095985757,30,20,6,1,500,0
2024,17.073607095985757,20,16,11,1,500,0
2024,18.51599092375669,85,31,9,3,500,1
2024,17.665658159674333,60,45,10,3,300,1
2024,18.358805340234277,70,31,10,3,500,1
2019,16.06680235657077,15,35,8,1,300,0
2019,18.197537192638155,105,26,8,3,500,0
2019,17.875953568510692,60,20,10,1,500,1
2019,17.7667542765457,50,9,10,2,300,0
2019,17.599700191882537,50,9,10,2,300,0
2019,16.951004773893423,20,11,11,1,500,0
2019,16.759949537130716,20,14,11,1,500,0
2024,17.14771506813948,30,23,11,1,400,0
2019,16.811242831518264,30,18,11,1,400,1
2024,18.51599092375669,60,12,6,2,300,0
2024,17.111347423968603,20,15,2,1,500,0
2024,17.45309671769066,30,12,4,1,500,0
2019,17.182806387950748,30,9,2,1,400,1
2019,17.72753356339242,55,21,1,2,300,0
2019,17.24949776244942,50,48,1,2,500,0
2019,16.860032995687696,20,16,3,1,500,0
2019,17.840862248699423,80,49,1,3,500,1
2019,17.47907220409392,35,4,1,1,500,0
2024,16.951004773893423,15,22,5,1,300,0
2019,16.90655301132259,15,17,5,1,300,1
2024,17.034386382832476,20,16,5,1,500,0
2019,16.951004773893423,20,14,9,1,300,0
2019,18.105969999112666,70,17,10,3,300,0
2019,18.159315979817958,70,17,10,2,300,0
2019,17.281246460764002,30,17,10,1,300,0
2019,16.99356438831222,25,14,9,1,300,0
2019,18.246327356807587,70,7,8,3,300,0
2024,17.893048001869992,45,23,8,2,300,0
2024,16.588099280204055,15,24,8,1,300,0
2019,17.858561825798823,55,19,8,2,300,0
2019,15.732433170146335,65,19,8,2,300,0
2019,16.213405830762646,15,34,2,1,300,0
2019,16.811242831518264,55,48,4,3,300,0
2019,17.034386382832476,20,14,3,1,600,0
2019,17.553180176247643,50,19,4,2,300,0
2019,17.4264284706085,70,18,6,3,500,0
2024,18.064005800013632,75,36,7,2,300,0
2024,17.312018119430753,40,40,4,2,400,0
2024,18.0051652999907,70,36,6,1,300,0
2019,17.111347423968603,20,6,3,1,400,0
2019,17.7073308560749,65,31,7,2,300,1
2019,17.686711568872166,50,15,5,2,300,0
2019,17.182806387950748,30,21,2,1,400,0
2024,17.72753356339242,40,15,8,1,400,0
2019,17.14771506813948,85,13,3,3,300,0
2019,18.31532022829454,85,15,5,3,500,0
2024,18.119575651168443,35,1,2,1,400,0
2024,18.951308995014536,85,20,2,2,500,1
2024,19.583831553758046,105,20,2,3,500,1
2019,17.47907220409392,30,12,2,1,400,0
2019,17.073607095985757,20,16,1,1,700,0
2024,18.0051652999907,55,23,4,2,300,0
2024,17.7667542765457,30,2,5,1,300,0
2024,16.99356438831222,20,18,5,1,400,0
2024,17.216707939626428,25,11,5,1,400,0
2024,17.24949776244942,30,23,4,1,400,1
2019,18.51599092375669,75,8,11,2,300,0
2024,19.162618088681743,75,8,9,3,300,1
2024,18.60300230074632,55,8,9,2,300,0
2024,19.25358986688747,75,8,9,2,300,0
2024,18.049617062561534,50,12,9,2,300,0
2024,18.60300230074632,70,18,6,3,300,0
2024,18.683045008419857,55,8,9,2,300,1
2024,18.197537192638155,60,11,8,2,300,0
2019,17.50439001207821,20,0,6,1,300,0
2019,17.50439001207821,25,0,6,1,300,0
2024,18.420680743952367,55,7,4,2,300,1
2024,18.234351165760874,45,16,2,1,500,0
2024,17.281246460764002,25,12,2,1,400,0
2024,17.576710673657836,25,5,4,1,300,0
2024,18.358805340234277,55,7,4,2,300,0
2024,18.60300230074632,65,7,4,3,300,1
2024,18.60300230074632,65,7,4,3,300,0
2019,18.258161814454592,70,2,4,3,300,0
2019,18.197537192638155,65,1,4,3,300,0
2024,18.60300230074632,65,11,2,2,500,0
2024,16.811242831518264,25,36,1,1,300,0
2024,17.111347423968603,20,20,3,1,500,0
2019,18.02020317735524,50,6,2,2,500,0
2019,17.7073308560749,35,8,3,1,500,0
2019,17.942644943009366,50,8,4,2,500,1
2024,17.073607095985757,20,19,4,1,400,0
2024,17.034386382832476,20,18,5,1,400,0
2024,18.197537192638155,60,9,3,2,300,0
2019,16.99356438831222,20,14,4,1,400,0
2019,16.951004773893423,25,7,3,1,300,0
2019,17.50439001207821,40,9,4,1,300,0
2019,17.576710673657836,45,9,4,1,300,0
2024,17.7073308560749,40,26,7,1,300,0
2024,17.974393641323946,50,41,6,2,600,1
2024,17.37085861945369,25,10,5,1,600,0
2019,17.281246460764002,45,40,6,2,600,0
2019,17.24949776244942,25,6,7,1,600,1
2019,17.24949776244942,30,16,4,1,600,1
2019,17.24949776244942,40,40,6,1,600,0
2019,18.890684373198102,105,35,5,2,300,1
2024,17.182806387950748,20,19,5,1,700,0
2024,16.811242831518264,20,46,4,1,700,0
2024,18.0051652999907,70,46,4,3,700,0
2024,17.893048001869992,35,20,1,1,700,0
2019,17.622173047734595,35,15,1,1,700,1
2019,17.958645284355807,55,12,4,2,400,0
2019,17.785802471516394,50,16,2,2,700,1
2019,17.45309671769066,50,41,4,2,700,1
2024,18.304146927696415,50,6,5,2,300,0
2024,18.31532022829454,60,28,5,2,300,1
2024,17.7667542765457,30,25,5,1,300,0
2024,18.246327356807587,50,6,5,2,300,0
2024,17.14771506813948,30,35,8,1,300,1
2019,18.222229805228526,70,17,9,3,300,1
2024,17.111347423968603,20,17,5,1,300,0
2019,17.111347423968603,20,16,6,1,400,0
2024,18.60300230074632,55,7,5,2,400,0
2024,18.369387449564815,50,7,5,2,400,0
2019,18.400478036634848,105,37,6,3,400,1
2019,17.529082624668582,40,20,8,1,300,1
2019,17.599700191882537,50,20,8,2,300,0
2019,17.72753356339242,60,20,8,2,300,0
2019,16.811242831518264,20,18,9,1,300,0
2024,18.172219384653864,50,4,7,1,300,0
2024,18.049617062561534,50,20,11,2,300,0
2024,16.99356438831222,20,19,3,1,500,0
2024,17.45309671769066,25,6,2,1,500,0
2024,17.622173047734595,30,12,2,1,500,0
2024,18.51599092375669,55,2,3,2,500,0
2024,16.860032995687696,20,24,5,1,400,0
2024,16.38045991542581,15,40,3,1,500,0
2019,17.37085861945369,30,7,2,1,500,0
2019,16.759949537130716,20,19,3,1,500,0
2019,17.111347423968603,20,12,4,1,400,0
2019,17.50439001207821,40,15,3,1,300,0
2019,16.90655301132259,20,19,4,1,400,0
2019,17.341871082580436,30,14,3,1,500,0
2024,18.60300230074632,60,22,5,2,400,1
2024,17.72753356339242,35,6,5,1,300,0
2019,18.258161814454592,50,17,5,2,400,0
2024,16.860032995687696,20,17,5,1,500,0
2019,16.951004773893423,20,12,6,1,500,0
2024,16.99356438831222,20,26,2,1,400,1
2024,17.686711568872166,35,8,7,1,400,0
2019,16.951004773893423,20,14,5,1,400,0
2019,16.64872390202049,15,21,2,1,400,0
2019,16.860032995687696,20,16,3,1,400,0
2019,17.553180176247643,45,10,1,1,400,0
2019,16.759949537130716,15,21,2,1,300,0
2024,17.840862248699423,40,6,4,1,500,0
2024,17.37085861945369,25,6,4,1,500,0
2024,18.683045008419857,65,4,5,3,600,0
2024,17.399029496420383,30,29,5,1,500,1
2019,17.64415195445337,95,49,3,3,300,0
2019,18.29284737244248,105,49,3,3,300,1
2019,16.759949537130716,20,21,4,1,500,0
2024,16.99356438831222,20,16,6,1,300,0
2024,18.51599092375669,80,22,3,2,300,0
2024,18.184958410431296,55,22,3,2,300,1
2024,18.420680743952367,75,22,3,3,300,0
2019,17.909855120186375,45,35,3,2,500,0
2019,16.70588231586044,20,12,5,1,500,0
2019,17.7073308560749,75,35,3,3,500,0
2019,17.45309671769066,55,22,3,3,300,0
2019,17.875953568510692,65,15,4,3,500,0
2019,17.14771506813948,20,9,1,1,500,0
2019,16.38045991542581,15,24,5,1,300,0
2019,16.90655301132259,20,16,11,1,400,0
2019,16.860032995687696,20,12,5,1,500,0
2019,18.03501826314038,65,6,6,3,300,0
2024,16.90655301132259,20,23,6,1,400,1
2024,18.119575651168443,55,2,6,2,300,0
2024,17.034386382832476,20,23,6,1,400,0
2024,17.034386382832476,20,18,11,1,400,0
2019,16.90655301132259,20,11,9,1,400,0
2019,18.197537192638155,55,8,1,2,600,0
2019,16.70588231586044,15,23,7,1,400,0
2019,18.60300230074632,85,8,1,3,600,0
2019,16.64872390202049,15,18,8,1,500,1
2019,18.209959712636714,70,20,3,3,600,1
2024,17.111347423968603,35,27,4,1,600,0
2024,16.70588231586044,20,38,5,1,600,1
2019,16.759949537130716,20,21,3,1,600,0
2019,17.37085861945369,40,36,4,2,600,1
2019,16.70588231586044,15,21,5,1,600,0
2024,17.909855120186375,45,12,2,2,600,1
2024,17.7473361906886,60,40,5,2,600,0
2024,18.0051652999907,60,40,5,2,600,1
2024,16.951004773893423,30,33,5,1,600,0
2024,18.683045008419857,90,19,1,4,400,0
2019,17.37085861945369,45,34,4,1,600,1
2019,17.822843743196746,65,35,5,3,600,1
2019,16.90655301132259,20,18,2,1,600,1
2019,17.14771506813948,45,34,4,2,600,0
2019,16.11809565095832,20,22,6,1,300,0
2019,17.281246460764002,35,34,4,1,600,1
2019,17.622173047734595,60,34,3,1,600,0
2019,17.341871082580436,35,7,1,1,600,0
2019,16.588099280204055,25,33,8,1,600,0
2024,18.064005800013632,50,20,9,1,300,1
2019,17.034386382832476,20,18,6,1,300,1
2019,17.073607095985757,20,9,12,1,300,0
2024,16.99356438831222,20,21,9,1,400,1
2024,16.90655301132259,20,21,9,1,400,0
2024,16.90655301132259,20,18,8,1,400,1
2024,18.420680743952367,60,23,4,2,400,1
2019,16.759949537130716,20,16,9,1,400,0
2024,17.37085861945369,35,19,9,1,600,0
2024,17.942644943009366,60,32,9,2,600,0
2019,17.50439001207821,40,28,11,1,600,1
2024,16.99356438831222,20,24,10,1,300,1
2024,18.358805340234277,65,24,5,2,600,1
2024,18.400478036634848,70,19,9,3,300,0
2024,18.119575651168443,60,27,8,2,200,1
2024,17.840862248699423,40,19,9,1,300,1
2024,17.312018119430753,40,40,6,1,600,0
2024,17.24949776244942,30,21,7,1,300,0
2024,17.875953568510692,40,21,3,1,600,1
2024,19.296149481306266,95,15,4,3,600,0
2024,18.132998671500584,50,24,3,1,600,0
2024,18.82614585206053,75,22,3,3,300,1
2024,17.822843743196746,50,22,3,1,300,0
2019,16.99356438831222,20,16,7,1,400,0
2019,16.99356438831222,20,16,7,1,300,0
2019,18.197537192638155,65,11,10,2,400,0
2019,16.811242831518264,35,40,4,1,300,0
2019,17.034386382832476,20,13,7,1,600,0
2019,18.209959712636714,70,8,7,3,300,0
2019,18.146243898250606,65,2,11,3,300,0
2019,17.785802471516394,50,14,9,1,300,1
2019,17.840862248699423,100,36,11,3,400,0
2019,17.64415195445337,40,4,6,1,300,0
2019,17.665658159674333,60,41,1,2,600,1
2019,17.073607095985757,25,16,3,1,600,0
2019,18.197537192638155,70,16,2,2,600,0
2019,17.553180176247643,45,16,3,1,600,0
2019,17.840862248699423,60,23,4,1,600,0
2019,18.119575651168443,80,29,4,3,600,1
2019,18.184958410431296,70,5,9,3,400,0
2024,16.951004773893423,15,19,11,1,600,0
2024,17.14771506813948,20,19,5,1,600,0
2019,16.951004773893423,20,15,7,1,400,0
2019,16.90655301132259,25,14,11,1,600,0
2024,18.683045008419857,75,13,9,3,400,0
2024,18.132998671500584,70,53,2,2,400,0
2024,17.974393641323946,50,14,8,2,400,0
2024,17.893048001869992,30,3,6,1,400,0
2019,17.599700191882537,45,19,9,2,300,0
2019,17.822843743196746,55,9,8,2,400,0
2019,16.951004773893423,20,14,8,1,400,0
2019,16.90655301132259,20,14,8,1,400,0
2019,16.90655301132259,20,14,8,1,400,0
2019,17.341871082580436,50,24,10,3,600,0
2019,16.99356438831222,20,14,8,1,400,1
2019,16.64872390202049,20,17,4,1,300,0
2019,17.98989782785991,60,21,9,3,300,1
2019,18.049617062561534,65,21,9,3,300,1
2019,16.38045991542581,15,19,8,1,300,0
2019,16.759949537130716,15,19,8,1,300,0
2024,18.304146927696415,55,17,4,1,600,0
2019,18.75715298057358,105,15,5,3,150,0
2024,17.14771506813948,30,37,2,1,600,0
2024,18.60300230074632,65,10,7,3,150,1
2019,16.811242831518264,25,19,3,1,600,0
2019,17.7473361906886,55,22,2,2,600,0
2024,17.37085861945369,25,11,10,1,300,0
2024,17.686711568872166,60,43,13,3,300,1
2024,17.875953568510692,55,19,10,2,300,0
2024,17.14771506813948,35,43,13,1,300,1
2019,16.70588231586044,25,23,10,1,300,0
2019,17.599700191882537,55,39,11,3,300,1
2024,18.222229805228526,70,27,10,2,300,0
2024,17.37085861945369,25,8,8,1,300,0
2024,17.37085861945369,25,8,6,1,300,0
2024,18.51599092375669,70,8,5,3,300,0
2024,16.951004773893423,20,22,4,1,300,1
2024,17.529082624668582,25,7,6,1,300,0
2024,17.37085861945369,25,8,6,1,300,0
2024,16.99356438831222,20,14,6,1,300,0
2019,17.073607095985757,20,9,6,1,300,0
2019,17.341871082580436,30,20,3,2,300,1
2019,17.216707939626428,25,3,6,1,300,0
2019,16.759949537130716,20,14,3,1,300,0
2019,16.588099280204055,20,30,9,1,300,1
2019,16.860032995687696,20,17,4,1,300,1
2019,17.80449460452855,35,1,4,1,300,0
2024,18.51599092375669,65,10,7,3,150,0
2024,17.216707939626428,30,34,1,1,500,0
2024,17.576710673657836,30,34,1,1,500,1
2024,18.82614585206053,95,20,8,3,400,1
2024,16.951004773893423,20,19,7,1,150,0
2024,18.02020317735524,70,32,1,2,500,0
2024,16.300417207752275,15,40,4,1,500,0
2024,17.553180176247643,35,15,2,1,500,0
2024,16.860032995687696,20,19,7,1,150,1
2024,17.622173047734595,45,41,1,2,500,1
2024,17.822843743196746,35,15,2,1,500,1
2019,18.31532022829454,75,5,7,2,150,0
2019,17.073607095985757,25,5,3,1,500,0
2019,16.588099280204055,15,23,10,1,300,1
2019,16.99356438831222,25,7,10,1,300,0
2019,17.281246460764002,30,29,1,1,500,1
2019,18.064005800013632,65,16,7,2,400,0
2019,18.420680743952367,90,16,7,3,400,0
2019,16.811242831518264,20,17,9,1,300,0
2024,18.159315979817958,55,5,3,1,400,1
2024,18.29284737244248,70,26,12,2,400,1
2024,18.184958410431296,55,18,10,2,200,0
2024,18.400478036634848,55,1,2,2,400,0
2024,18.29284737244248,55,8,8,2,300,0
2024,17.72753356339242,40,20,1,1,600,0
2024,17.599700191882537,65,25,10,3,300,0
2019,17.72753356339242,70,48,5,3,300,1
2019,16.64872390202049,20,16,3,1,600,0
2019,17.073607095985757,30,16,3,2,600,0
2019,17.622173047734595,55,25,4,2,400,0
2019,16.454567887579532,25,48,10,1,400,1
2019,17.875953568510692,50,8,5,2,400,0
2019,17.622173047734595,50,20,10,1,300,1
2019,17.7667542765457,65,21,2,3,400,0
2019,18.119575651168443,55,3,8,2,300,0
2024,18.683045008419857,70,9,10,2,150,0
2024,18.29284737244248,70,27,4,2,600,0
2024,16.860032995687696,20,29,1,1,600,0
2024,18.049617062561534,50,12,5,2,500,0
2024,18.197537192638155,55,7,5,2,600,0
2024,17.80449460452855,45,27,2,2,300,1
2024,17.281246460764002,25,6,4,1,500,0
2024,16.951004773893423,20,18,1,1,600,0
2024,17.72753356339242,35,9,9,1,600,0
2024,17.37085861945369,35,41,10,2,600,0
2019,17.785802471516394,50,16,1,2,500,1
2019,18.29284737244248,50,25,9,3,600,0
2019,17.45309671769066,55,23,1,2,400,0
2019,16.759949537130716,30,17,1,1,500,0
2019,17.216707939626428,45,49,2,1,400,1
2019,17.893048001869992,70,22,3,3,500,0
2019,16.06680235657077,25,35,1,1,500,0
2019,16.951004773893423,20,17,1,1,500,0
2019,16.90655301132259,15,16,1,1,500,0
2019,17.216707939626428,50,18,9,2,600,0
2019,17.80449460452855,65,22,9,3,600,1
2024,16.759949537130716,15,27,10,1,600,1
2019,16.588099280204055,15,22,10,1,600,0
2019,17.622173047734595,70,27,10,2,600,0
2019,16.759949537130716,20,13,6,1,500,0
2019,17.47907220409392,50,39,7,2,500,0
2019,17.599700191882537,40,1,6,1,400,0
2019,17.553180176247643,40,1,6,1,400,0
2019,17.64415195445337,45,24,6,2,400,1
2024,17.98989782785991,60,53,7,3,150,1
2024,17.529082624668582,45,53,2,1,600,0
2024,18.105969999112666,60,53,7,2,150,1
2019,17.37085861945369,55,49,2,2,600,0
2019,17.72753356339242,40,10,1,1,600,1
2019,16.213405830762646,20,35,2,1,150,1
2019,18.132998671500584,70,18,2,3,600,1
2019,16.99356438831222,20,15,5,1,300,0
2024,16.012735135300492,20,23,3,1,300,0
2024,18.37985874943211,65,16,3,2,300,0
2024,18.0051652999907,55,10,4,2,300,0
2024,18.03501826314038,60,35,5,2,600,1
2024,18.390221536467656,80,25,1,4,600,0
2024,18.358805340234277,70,19,4,3,300,0
2024,17.399029496420383,25,10,4,1,300,0
2024,18.132998671500584,60,26,5,2,600,1
2019,17.529082624668582,40,14,6,1,600,1
2019,17.64415195445337,50,33,1,2,600,1
2019,17.553180176247643,50,37,4,2,600,1
2019,17.45309671769066,50,24,2,2,600,0
2019,18.02020317735524,60,18,3,2,600,1
2019,17.576710673657836,50,33,1,2,600,1
2019,16.70588231586044,20,18,3,1,300,0
2019,17.822843743196746,55,17,2,1,600,0
2019,17.47907220409392,50,23,3,2,600,0
2019,16.90655301132259,20,17,1,1,600,0
2024,16.951004773893423,20,19,9,1,600,0
2024,17.909855120186375,50,39,7,2,600,1
2024,17.216707939626428,25,39,7,1,600,1
2024,16.811242831518264,25,39,7,1,600,0
2024,17.785802471516394,40,10,6,1,600,0
2024,17.875953568510692,55,38,9,2,300,1
2024,16.99356438831222,20,19,9,1,600,0
2019,17.7667542765457,65,13,7,3,300,0
2019,16.951004773893423,20,15,8,1,300,1
2019,16.759949537130716,20,16,8,1,300,0
2024,17.958645284355807,50,19,14,2,300,1
2024,17.24949776244942,30,20,2,1,400,0
2019,18.132998671500584,100,30,4,2,300,1
2019,17.216707939626428,35,15,2,1,400,0
2019,17.216707939626428,35,15,2,1,400,0
2019,17.312018119430753,30,10,5,1,400,0
2024,15.856730886823913,15,40,8,1,300,0
2024,16.588099280204055,15,39,3,1,300,0
2024,16.759949537130716,25,31,5,1,600,0
2024,17.622173047734595,45,39,2,2,600,0
2024,16.90655301132259,25,38,1,1,600,1
2024,18.326370064481125,65,24,5,2,150,0
2024,16.860032995687696,25,39,2,1,600,0
2024,16.99356438831222,20,18,4,1,400,0
2024,18.184958410431296,50,0,6,1,300,0
2019,18.064005800013632,70,10,3,2,400,0
2019,17.98989782785991,85,31,7,2,600,0
2019,16.860032995687696,20,18,4,1,400,0
2019,17.034386382832476,25,13,7,1,300,1
2019,17.622173047734595,55,21,10,2,300,1
2019,17.7473361906886,85,31,7,2,600,1
2019,16.454567887579532,25,33,1,1,600,0
2019,17.47907220409392,40,15,1,1,600,0
2019,17.073607095985757,20,9,10,1,400,0
2019,16.951004773893423,20,13,9,1,400,0
2024,17.4264284706085,40,36,7,1,600,1
2024,17.686711568872166,25,6,8,1,600,0
2024,18.172219384653864,50,6,8,2,600,0
2024,17.111347423968603,20,22,2,1,400,0
2024,16.811242831518264,30,52,3,1,300,0
2024,18.02020317735524,45,16,1,1,600,0
2024,18.37985874943211,50,4,1,2,600,0
2019,17.909855120186375,60,18,1,1,600,0
2019,18.34811005111753,65,7,5,3,400,0
2019,18.172219384653864,55,7,5,2,400,0
2019,18.064005800013632,50,8,3,2,600,0
2019,16.90655301132259,15,18,8,1,500,0
2019,17.111347423968603,25,5,3,1,500,0
2019,17.665658159674333,95,49,3,2,400,0
2019,16.38045991542581,20,35,4,1,600,0
2019,16.38045991542581,20,35,4,1,600,0
2019,17.399029496420383,40,15,4,1,600,0
2024,17.72753356339242,45,45,7,1,600,1
2024,17.50439001207821,35,24,6,1,600,0
2024,17.073607095985757,20,21,4,1,600,0
2024,18.304146927696415,65,21,6,2,300,0
2024,17.182806387950748,25,19,3,1,400,0
2024,18.60300230074632,65,14,3,2,600,1
2024,17.958645284355807,50,11,5,2,600,0
2019,16.951004773893423,20,16,7,1,600,0
2019,17.529082624668582,45,12,6,1,300,0
2019,17.785802471516394,50,19,7,2,600,0
2019,16.860032995687696,15,17,3,1,600,0
2019,16.90655301132259,20,16,7,1,600,0
2019,16.70588231586044,20,10,4,1,600,0
2019,17.7473361906886,70,32,12,3,300,0
2019,17.111347423968603,20,17,2,1,400,1
2019,17.4264284706085,40,4,3,1,400,0
2019,17.45309671769066,35,19,7,1,600,1
2019,16.951004773893423,20,18,4,1,600,0
2024,16.99356438831222,20,17,9,1,300,0
2024,16.454567887579532,15,34,10,1,300,0
2024,18.890684373198102,70,9,7,3,400,0
2024,16.523560759066484,15,34,10,1,300,0
2024,18.234351165760874,65,19,11,2,600,1
2024,17.216707939626428,25,8,11,1,600,0
2024,16.588099280204055,25,33,8,1,600,1
2019,18.064005800013632,65,4,8,2,600,0
2019,16.90655301132259,20,10,9,1,600,0
2019,17.599700191882537,55,19,10,1,300,0
2019,18.269857854217783,70,14,6,2,600,0
2019,17.840862248699423,60,20,7,2,600,0
2019,18.246327356807587,90,32,7,3,600,1
2019,17.875953568510692,65,32,7,2,600,1
2019,18.09217667698033,55,9,6,1,400,0
2019,18.683045008419857,105,10,7,3,200,0
2024,18.29284737244248,55,19,4,2,600,1
2019,17.958645284355807,65,14,1,2,600,1
2019,15.89495209964411,15,34,1,1,600,0
2024,17.45309671769066,40,29,11,1,600,0
2019,16.759949537130716,20,15,11,1,500,0
2019,17.529082624668582,50,24,11,3,300,0
2019,16.860032995687696,25,1,3,1,600,0
2019,16.90655301132259,20,17,9,1,400,0
2019,16.90655301132259,20,17,9,1,400,0
2024,16.64872390202049,15,31,1,1,600,1
2024,17.50439001207821,25,6,2,1,600,0
2024,17.312018119430753,50,24,3,1,600,0
2024,17.111347423968603,20,17,5,1,600,0
2019,17.034386382832476,20,15,4,1,600,0
2019,16.99356438831222,35,37,7,1,600,1
2019,18.02020317735524,60,7,4,3,200,0
2019,16.951004773893423,20,15,4,1,600,0
2019,16.99356438831222,20,15,4,1,600,0
2024,17.893048001869992,65,46,2,2,600,0
2024,17.98989782785991,50,24,4,2,600,1
2024,18.358805340234277,85,49,1,3,600,0
2019,17.686711568872166,40,1,4,1,400,0
2019,16.70588231586044,20,15,6,1,300,0
2024,17.034386382832476,20,20,4,1,400,0
2024,17.37085861945369,30,29,2,1,600,1
2024,18.37985874943211,65,28,4,3,600,1
2024,16.64872390202049,15,32,2,1,600,0
2024,18.159315979817958,50,19,2,2,600,0
2024,17.111347423968603,25,21,1,1,600,0
2019,16.90655301132259,20,15,1,1,600,0
2019,16.38045991542581,20,24,2,1,600,0
2024,17.909855120186375,65,53,10,2,400,1
2019,17.942644943009366,70,21,6,2,200,0
2019,18.064005800013632,65,14,6,2,300,0
2024,18.269857854217783,75,20,5,2,400,0
2019,17.312018119430753,40,41,7,2,400,1
2019,17.281246460764002,50,49,10,2,300,1
2019,16.11809565095832,25,35,6,1,400,0
2024,18.369387449564815,80,4,3,2,300,0
2024,16.523560759066484,15,41,11,1,600,1
2024,17.72753356339242,30,5,7,1,400,0
2024,16.99356438831222,20,20,5,1,600,0
2024,18.60300230074632,70,6,6,3,400,0
2019,16.811242831518264,20,19,7,1,400,0
2019,17.80449460452855,55,17,7,1,400,0
2019,17.686711568872166,45,36,6,2,600,1
2019,16.70588231586044,20,19,6,1,600,0
2024,16.99356438831222,20,20,4,1,600,0
2024,17.14771506813948,30,53,12,1,300,1
2024,18.197537192638155,65,48,8,3,300,1
2019,18.159315979817958,70,15,10,2,300,0
2024,16.38045991542581,35,23,7,1,400,0
2024,17.822843743196746,45,46,4,2,300,0
2024,18.02020317735524,40,7,2,1,500,0
2024,18.82614585206053,80,10,8,3,300,0
2024,18.358805340234277,55,5,1,2,600,0
2024,17.785802471516394,45,22,5,1,500,0
2019,17.72753356339242,60,39,2,3,600,1
2019,17.47907220409392,60,39,2,2,600,0
2019,17.72753356339242,70,39,2,3,600,0
2019,16.588099280204055,20,24,6,1,400,0
2019,16.951004773893423,40,46,2,3,500,0
2019,17.37085861945369,30,9,3,1,500,0
2019,16.99356438831222,35,22,5,1,500,0
2019,17.182806387950748,30,18,7,1,400,0
2019,17.341871082580436,45,39,2,2,600,1
2019,17.281246460764002,30,18,1,2,600,1
2019,17.312018119430753,30,18,7,1,400,0
2024,17.893048001869992,50,19,4,1,700,1
2024,16.523560759066484,15,32,1,1,700,1
2024,17.034386382832476,25,10,12,1,500,0
2024,17.034386382832476,40,36,13,1,500,0
2019,17.14771506813948,40,12,9,1,500,0
2019,17.47907220409392,55,19,14,2,400,1
2019,17.034386382832476,20,6,14,1,400,0
2019,17.073607095985757,55,35,8,2,400,0
2019,17.281246460764002,55,11,5,1,700,0
2019,17.576710673657836,35,1,11,1,500,0
2019,17.4264284706085,40,6,9,1,400,0
2019,16.300417207752275,15,27,8,1,600,0
2019,16.860032995687696,20,6,14,1,400,0
2024,17.24949776244942,25,2,9,1,400,0
2024,17.576710673657836,35,5,9,2,500,0
2024,17.182806387950748,30,17,1,1,700,0
2024,18.172219384653864,60,13,8,2,500,1
2024,17.182806387950748,25,7,11,1,400,0
2024,17.182806387950748,30,17,1,1,700,0
2024,17.182806387950748,25,5,9,1,500,0
2024,17.529082624668582,40,7,11,1,400,0
2024,17.785802471516394,50,12,5,1,600,0
2024,17.893048001869992,50,6,11,2,400,0
2019,17.111347423968603,45,33,8,2,400,1
2019,17.24949776244942,35,9,2,1,600,0
2019,17.341871082580436,35,8,7,1,500,0
2019,17.665658159674333,55,18,4,1,600,1
2019,16.99356438831222,20,12,15,1,400,0
2019,16.64872390202049,30,45,5,2,700,0
2019,16.64872390202049,30,29,5,1,700,0
2019,17.034386382832476,20,12,15,1,400,0
2019,17.14771506813948,30,12,1,1,700,0
2019,17.073607095985757,50,29,7,2,700,0
2019,17.958645284355807,65,18,4,3,600,1
2019,17.14771506813948,25,8,8,1,400,0
2019,16.811242831518264,25,8,8,1,400,0
2024,17.72753356339242,60,4,15,1,400,0
2024,16.38045991542581,20,45,7,1,600,0
2024,18.02020317735524,55,18,5,2,500,0
2024,18.03501826314038,50,6,6,2,500,0
2024,17.281246460764002,25,8,7,1,600,0
2024,17.341871082580436,25,8,7,1,600,0
2024,17.14771506813948,25,17,8,1,600,0
2024,18.105969999112666,50,5,4,2,500,0
2024,17.281246460764002,20,8,7,1,600,0
2024,17.37085861945369,55,33,6,3,600,0
2024,17.281246460764002,35,31,6,1,500,0
2019,16.99356438831222,25,11,6,1,500,1
