Price,Size,Tenure,DistanceStation,Reform
3.044522437723423,30,36,3,0
2.8903717578961645,20,14,5,0
4.174387269895637,55,33,1,1
4.02535169073515,55,33,1,0
2.70805020110221,20,32,3,0
4.532599493153256,70,10,4,1
4.584967478670572,65,18,4,1
3.4011973816621555,20,17,4,0
4.941642422609304,85,18,4,0
3.1354942159291497,20,13,4,0
3.091042453358316,20,13,4,1
3.1354942159291497,20,13,4,0
3.6888794541139363,30,5,3,0
5.135798437050262,70,2,3,1
5.598421958998375,105,5,3,0
5.393627546352362,85,2,3,0
4.867534450455582,85,20,2,0
5.480638923341991,105,5,3,0
3.9512437185814275,50,44,2,0
4.290459441148391,45,12,2,0
5.135798437050262,85,20,2,1
4.060443010546419,55,37,1,1
4.941642422609304,95,37,1,1
3.871201010907891,35,44,2,1
5.0106352940962555,80,20,2,0
4.219507705176107,45,11,2,1
5.393627546352362,95,2,3,0
4.127134385045092,55,45,3,1
4.31748811353631,65,45,3,0
3.295836866004329,25,4,1,0
5.298317366548036,110,13,3,1
4.3694478524670215,75,45,3,0
5.135798437050262,95,16,2,1
4.1588830833596715,55,45,3,1
3.367295829986474,25,4,2,1
3.6109179126442243,40,40,2,0
4.07753744390572,70,47,1,0
3.1780538303479458,25,19,11,0
3.6109179126442243,30,14,4,0
3.295836866004329,20,15,2,0
3.4011973816621555,25,13,4,0
3.9318256327243257,35,5,3,0
3.332204510175204,20,15,2,0
3.367295829986474,20,15,2,0
3.4965075614664802,30,15,3,1
3.4657359027997265,35,21,4,0
3.295836866004329,20,15,2,0
3.258096538021482,20,11,1,0
2.995732273553991,20,11,3,0
3.044522437723423,20,13,1,0
3.044522437723423,25,13,1,0
3.258096538021482,20,11,1,0
3.1780538303479458,25,13,2,1
3.4011973816621555,35,17,4,0
3.1780538303479458,20,11,1,0
3.4339872044851463,25,14,4,0
2.995732273553991,20,13,4,1
3.332204510175204,30,12,4,0
3.4965075614664802,40,11,3,0
3.58351893845611,20,7,6,0
3.6635616461296463,25,7,6,0
3.8501476017100584,40,9,4,0
3.8066624897703196,35,4,3,0
3.295836866004329,25,15,3,0
4.290459441148391,60,4,3,0
3.784189633918261,35,4,3,0
3.091042453358316,20,18,4,0
3.044522437723423,20,14,4,0
3.1354942159291497,20,19,5,0
2.302585092994046,15,40,3,0
2.9444389791664403,20,15,5,0
2.995732273553991,20,15,5,0
3.912023005428146,40,3,4,0
4.442651256490317,70,8,5,0
4.290459441148391,50,8,5,0
3.1354942159291497,20,10,5,0
3.8066624897703196,30,2,4,1
3.044522437723423,20,16,3,0
3.1354942159291497,20,12,3,0
3.8918202981106265,35,18,1,1
3.258096538021482,25,18,1,0
3.332204510175204,20,18,1,1
5.135798437050262,60,8,2,1
3.1780538303479458,20,21,4,0
2.5649493574615367,20,17,5,0
2.6390573296152584,15,41,3,0
2.3978952727983707,15,37,3,1
2.4849066497880004,15,37,3,0
2.772588722239781,15,39,3,1
3.8501476017100584,35,9,1,0
2.995732273553991,20,17,6,1
4.04305126783455,60,40,10,1
4.867534450455582,65,3,5,0
4.3694478524670215,55,1,2,0
3.2188758248682006,20,8,5,0
3.332204510175204,25,8,4,0
3.332204510175204,20,12,7,0
